Month;Province;Grocery_and_pharmacy;Parks;Resedential;Transit_station;Retail_and_Creation;Workplace
December;West Kalimantan;0.58;-6.06;5;-26.81;-17.71;-25.06
January;West Kalimantan;-13.52;-22.58;4.87;-40.81;-26.1;-26.16
February;West Kalimantan;-6.6;-15.47;0;-29.35;-16.09;-17.47
March;West Nusa Tenggara;-4.5;-21.47;4.45;-18.74;-13.84;-10.87
April;West Nusa Tenggara;-20.97;-40.4;14.37;-55.73;-38.33;-27.67
May;West Nusa Tenggara;-13.48;-38.06;15.03;-61.23;-32.42;-27.71
June;West Nusa Tenggara;-7.2;-19.8;11.4;-54.97;-20.63;-16.37
July;West Nusa Tenggara;-2.97;-14.74;10.45;-51.71;-13.94;-15.71
Augst;West Nusa Tenggara;-0.13;-8.81;9.55;-45.13;-11.16;-14.61
September;West Nusa Tenggara;0.6;-7.47;9.13;-33.5;-10;-11.37
October;West Nusa Tenggara;5.84;-2.58;3.68;-30.13;-10.71;-17.84
November;West Nusa Tenggara;3.73;-11.87;0.17;-27.5;-9.73;-15.87
